Species,Flowering,Fruit ripening,Seed dispersal,pdf table number,genus name,Color of ripe fruit,Height of mature trees (m),Year first cultivated,Location,Color of ripe fruits,Fruit drop,Location  altitude,Location  elevation,Height at maturity (m),Growth habit  maximum height,Flower color,Flowering habit,Dispersal,Cone ripening,Seed ripening  dispersal,Origin,Color of ripe fruit,Seed size (mm),Diam of ripe fruit (mm),Cleaned  (kg),seeds wt  (lb),Fruit  seed ripening,Location  elevation (m),Tree ht (m),Age (yrs),Interval (yrs)
S. oreophilus,,,NA,2,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,Northern Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. oreophilus,June 5-June 10,July 15-Aug 3,NA,2,Symphoricarpos,NA,NA,NA,NA,NA,NA,NA,"2,080 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. canadensis,Apr-early June,Sept-Oct,Sept-winter,4,Tsuga,NA,NA,NA,Southern range to northern range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. caroliniana,Mar-Apr,Aug-Sept,,4,Tsuga,NA,NA,NA,North Carolina to South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. heterophylla,Apr-May,Sept-Oct,Oct-May,4,Tsuga,NA,NA,NA,Oregon to Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. heterophylla,,15-Sep,Oct-June,4,Tsuga,NA,NA,NA,S British Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. heterophylla,Late May-June,Sept-Oct,Oct,4,Tsuga,NA,NA,NA,SE Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. heterophylla,Mid to late Apr,,Sept-May,4,Tsuga,NA,NA,NA,W central Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. heterophylla,May 27-June 5,Aug,Sept 17-winter,4,Tsuga,NA,NA,NA,Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. mertensiana,June,Late Sept-Oct,,4,Tsuga,NA,NA,NA,Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. mertensiana,June-mid-July,Late Sept-Nov,,4,Tsuga,NA,NA,NA,"British Columbia, Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. mertensiana,Aug,,,4,Tsuga,NA,NA,NA,"Bitterroot Mtns, Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. americana,May-July,Aug-Oct,Aug-Mar,2,Sorbus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. aucuparia,May-July,Aug-Oct,Aug- winter,2,Sorbus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. decora,May-July,Aug-Nov,Aug-Mar,2,Sorbus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. scopulina,May-July,July,July-Dec,2,Sorbus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. sitchensis,June-Aug,Aug-Oct,Aug-late winter,2,Sorbus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. occidentalis,Mar-May,Sept-Nov,Jan-Apr,2,Platanus,NA,NA,NA,E US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. orientalis,May,Sept-Oct,,2,Platanus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. racemosa,,June-Aug,June-Dec,2,Platanus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. hispida,May-June,July-Sept,,2,Robinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. hispida var. fertilis,Early June,Sept,Oct-Nov,2,Robinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. neomexicana,,Sept,Sept-Oct,2,Robinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. pseudoacacia,,Sept-Oct,Sept-Apr,2,Robinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. alaxensis,May-June,June-July,July-Aug,3,Salix,NA,NA,NA,Alaska-Brooks Range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. alaxensis,Apr-May,May,May-June,3,Salix,NA,NA,NA,Alaska-Tanana River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. alaxensis,May-June,June-July,July-Aug,3,Salix,NA,NA,NA,Alaska-central Interior*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. amygdaloides,May-June,,,3,Salix,NA,NA,NA,NE Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. arctica,,,,3,Salix,NA,NA,NA,Canadian high Arctic-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. arctica,July,Aug-Sept,,3,Salix,NA,NA,NA,Ellesmere Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. arctica,June-July,July-Aug,Aug-Sept,3,Salix,NA,NA,NA,Interior Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. bebbiana,Apr-June,May-June,May-June,3,Salix,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. caroliniana,Mar-April,Mar-Apr,,3,Salix,NA,NA,NA,North & South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. discolor,May,,,3,Salix,NA,NA,NA,N Ontario & British Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mar-April,Apr-May,Apr-May,3,Salix,NA,NA,NA,"Rocky Mtns, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. eriocephala (as S. rigida),Apr-June,June,June-July,3,Salix,NA,NA,NA,NE Minnesota & N Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. exigua,May-July,June-July,June-July,3,Salix,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. fragilis,Apr-May,May-June,May-June,3,Salix,NA,NA,NA,US & Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. glauca,June-July,July-Aug,Sept-Nov,3,Salix,NA,NA,NA,Alaska-Brooks Range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May-June,July-Aug,Sept-Nov,3,Salix,NA,NA,NA,Alaska-mid-boreal forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,June-July,July-Aug,Sept-Nov,3,Salix,NA,NA,NA,Alaska-Denali National Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. interior,,13-Aug,,3,Salix,NA,NA,NA,N Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. lucidat,Apr-May,June-Aug,June-Aug,3,Salix,NA,NA,NA,Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. nigra,Feb-April,Apr-May,Apr-May,3,Salix,NA,NA,NA,In north,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May-June,June-July,June-July,3,Salix,NA,NA,NA,In south,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. petiolaris,May-June,June-July,June-July,3,Salix,NA,NA,NA,General,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. scouleriana,Apr-June,May-July,May-July,3,Salix,NA,NA,NA,General,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. alpinum,July-Aug,Apr-May,NA,NA,NA,NA,NA,NA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. americanum,June-Sept,Apr-June,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. aureum,June-July,Apr-May,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. aureum var.villosum,Late Aug,Late May,NA,NA,NA,NA,NA,NA,Wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,June,Mid-Apr,NA,NA,NA,NA,NA,NA,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,June-Aug,Apr-June,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. cereum,Aug,Apr-June,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. cynosbati,Late July-Sept,Apr-early June,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. hudsonianum,,May-July,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. inerme,,May-June,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. lacustre,Aug,Apr-July,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. missouriense,June-Sept,Apr-May,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. montigenum,Aug-Sept,Late June-July,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. nevadense,,May-July,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. oxyacanthoides ssp. irriguum,,Apr-June,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. roezlii,,May-June,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. rotundifolium,July-Sept,Apr-May,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. sanguineum,July-Aug,Apr-May,NA,NA,NA,NA,NA,NA,Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,Mar-June,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. viscosissimum,Aug-Sept,May-June,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. X persica,May-June,Late Mar-Apr,NA,2,Syringa,NA,NA,NA,"NE US, Kansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. reticulata var. amurensis,Early June,,NA,2,Syringa,NA,NA,NA,North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,June-July,Sept-Oct,NA,2,Syringa,NA,NA,NA,Manitoba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. vulgaris,Apr-June,Aug-Oct,NA,2,Syringa,NA,NA,NA,NE US & Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Late Mar-early May,,NA,2,Syringa,NA,NA,NA,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Late Mar-mid-May*,,NA,2,Syringa,NA,NA,NA,W US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. columbiana,May-June,July-Aug,NA,2,Clematis,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. drummondii,Mar-Sept,Aug-Oct,NA,2,Clematis,NA,NA,NA,SW US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. flammula,Aug-Oct,Aug-Oct,NA,2,Clematis,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. ligusticifolia,Mar-Apr,May-Aug,NA,2,Clematis,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mar-Sept,Aug-Nov,NA,2,Clematis,NA,NA,NA,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May-Aug,Oct-Dec,NA,2,Clematis,NA,NA,NA,Colorado & Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. pauciflora,Mar-Apr,May-July,NA,2,Clematis,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. virginiana,July-Sept,July-Sept,NA,2,Clematis,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,June-July,Aug-Sept,NA,2,Clematis,NA,NA,NA,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. vitalba,July-Sept,July-Sept,NA,2,Clematis,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,June-July,Sept-Oct,NA,2,Clematis,NA,NA,NA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. viticella,June-Aug,June-Aug,NA,2,Clematis,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. camaldulensis,Feb-Apr,July-Oct,Begins 8-9 months after flowering,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,18-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. citriodora,Nov-Jan,May-Aug,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,24-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. dalrympleana,June-Aug,Aug-Oct,Oct-Nov,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,18-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. delegatensis,Apr-June,Apr-July,May-July,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,30-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. fastigata,Apr-May,July-Aug,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,18-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. glaucescens,July-Aug,May-Sept,Nov-Feb,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,12-Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. globulus,Nov-Apr,Oct-Mar,Oct-Mar,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,45-54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. grandis,Sept-Nov,,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,42-54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. microcorys,Dec-Feb,,.,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,30-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. nitens,Apr-July,May-June,May-June,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,30-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. obliqua,Apr-July,May-Aug,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,15-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. paniculata,Feb-May,,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,24-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. pilularis,Dec-Mar,Jan-April,All year,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,36-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. regnans,Apr-July,June-Sept,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,52-105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. robusta,Jan-Mar,,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,24-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. rudis,Jan-Mar,,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,15-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. saligna,Apr-June,Oct-Dec,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,15-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. sideroxylon,June-Sept,,,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,30-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E. viminalis,All year,12 months after flowering,20-22 months after flowering,2,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,15-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVERGREEN,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHODODENDRONS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. carolinianum,May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Compact shrub; to 1.8 m,"Pink, mauve, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. catawbiense,May-June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spreading, rounded in the open; generally wider than tall to 3 m, sometimes small tree to 6 m","Magenta, pink, white, red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. chapmanii,May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub to 1.8 m,Rose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. macrophyllum,May-June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open tree-like shrub; often erect to 3-9 m,"Purplish rose, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. maximum,June-July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub in cultivation; to 4.6 m (sometimes to 12 m in the wild),"White, pink, purplish red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. minus,June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8 m,"Rose, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DECIDUOUS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RHODODENDRONS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. alabamense,Apr-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low stoloniferous shrub; to 0.6-2.4 m,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. albiflorum,June-July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erect shrub; from 0.9-2.1 m,"Creamy white, yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. arborescens,June-July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From low spreading bushes in open to tall and leggy in shade; up to 6 m,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. atlanticum,May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stoloniferous shrub, forms branching sprays when well established; 0.3-1.5 m","White, pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. austrinum,Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stiff and upright; from 3.0-3.6 m,Yellow-orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. calendulaceum,May-June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stiff and upright; to 3.6 m,"Yellow, orange, scarlet, pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. camtschaticum,May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very small shrub; to 0.2 m,Reddish purple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. canadense,Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Much branched shrub; to 0.9 m,"Rose-purple, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. canescens,Apr-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sparingly branched shrub; to 4.6 m,"Pink, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. cumberlandense,June-July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low and twiggy, often stoloniferous shrub; to 2.4 m but rarely over 1.8 m","Yellow, orange, scarlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R. flammeum,May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mounding form; to 2.5 m,"Scarlet, orange, yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
