"Species","Height at maturity  (m)","Year first cultivated","Minimum seed bearing age (yr)","Years between large seedcrops","pdf table number","genus name","Height at maturity (m)","Years between large seed crops","Cone ripeness Pre ripe color","criteria Ripe color","Years between large crops","Fruit ripeness Preripe color","Minimum seed bearing age ((yr)s)","Fruit Preripe color","ripeness criteria Ripe color","Height (m)at maturity","Minimum seed bearing age ((yr)s)","Fruit Preripe","color Ripe","X (m)","cultivated","age ((yr)s)","crops","Ripe fruit color","Diameter","Length","Mature tree height (m)","Age at onset seed bearing (yr)","Years between cone crops","Mature height (m)","Cone length (cm)","Color of ripe cones","Age at onset seed bearing","Years large Time","between seedcrops Location","Years between seedcrops"
"A. spicatum",NA,"1750",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C. laevigata",NA,"1811",NA,NA,"3","Celtis","18-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","Green","Dark orange to red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C. laevigata var. reticulata",NA,"1890",NA,NA,"3","Celtis","9-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Orange-red or yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C. occidentalis",NA,"1656",NA,NA,"3","Celtis","9-40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orange-red","Dark reddish purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. alleghaniensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.9","1889","4","I","Dark purple","10","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-9","1768","4","I-2","Red or yellowish","20-30","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.3-7.6","~ 1874","2","","Red or yellow","10-20","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. armeniaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.4","Early","5","2","Yellowish with red","30+","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. avium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9-30.5","Early","6-7*","I","Yellow to red or purplish black","20-25","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. caroliniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5-12","","","","Black","10-13","10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. cerasifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.2","Early","3","2-3","Red","16-25","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. cerasus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9-15","Early","6-7*","I","Light to dark red","8-25","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. domestica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9-12","Early","5","","Often blue-purple","30+","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. d. var. insititia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-7.6","Early","","","Yellow to bluish black","25+","15-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. dulcis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-9","Early","4-,----","I","Brownish","30+","30-60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. emarginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I-15","1918","","","Bright red","8-12","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. fasciculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I-2.4","","","","","13","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. fremontii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5-3.7","","","","Yellowish","15-20","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6","","","","Red","13","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. hortulana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","","3","","Red to yellow","25","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. ilicifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.6-9","Pre-1925","3","","Purple or black","13-17","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. laurocerasus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5","","","","Purple to black","10","8-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. mahaleb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-10","Early","3","I-2","Black","8-10","6-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","","3","","Purple","13-25","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. munsoniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-9","Pre-1909","3","","Red or yellow","20-30","15-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. padus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","Early","","2","Black in typical variety","6-8","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. pensylvanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-12","1773","2","","Light red","5-7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. persica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-7.6","Early","3","I-2","Yellow to red","30-60","30-75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3-2.4","1756","","","Purple-black","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P.var. besseyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3-1.2","1892","2-3","","Purple to black","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. serotina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.3-33.5","1629","5","I-5","Black","7-10","6-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. spinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","Early","","I-2","Blue-black","10-15","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. subcordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-7.6","~ 1850","","2","Red or yellow","20-30","15-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8-3","1870","2-3","I-2","Red","10-31","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","3","","Black, red, yellow","10-15","10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. virginiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8-9","1724","","","Red-purple to dark purple","8","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. albicaulis",NA,"1852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-33","20-30","3-5",NA,NA,NA,NA,NA,NA,NA
"P. aristata",NA,"1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-15","20","102",NA,NA,NA,NA,NA,NA,NA
"P. arizonica",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-27","15-20","2-3",NA,NA,NA,NA,NA,NA,NA
"P. armandii",NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-37","20","",NA,NA,NA,NA,NA,NA,NA
"P. attenuata",NA,"1847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-15","5-8","I",NA,NA,NA,NA,NA,NA,NA
"P. balfouriana",NA,"1852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11-18","20","5-6",NA,NA,NA,NA,NA,NA,NA
"P. banksiana",NA,"1783, earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17-30","3-15","3-4",NA,NA,NA,NA,NA,NA,NA
"P. brutia",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20-30","7-10","I",NA,NA,NA,NA,NA,NA,NA
"P. canariensis",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","15-20","3-4",NA,NA,NA,NA,NA,NA,NA
"P. caribaea",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-30","","",NA,NA,NA,NA,NA,NA,NA
"P. cembra",NA,"1746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10-23","25-30","6-10",NA,NA,NA,NA,NA,NA,NA
"P. cembroides",NA,"1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-8","","5-8",NA,NA,NA,NA,NA,NA,NA
"P. clausa",NA,"1832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-24","5","1-2",NA,NA,NA,NA,NA,NA,NA
"P. contorta",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA
"var. contorta",NA,"1855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-12","4-8","I",NA,NA,NA,NA,NA,NA,NA
"var. latifolia",NA,"1853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8-46","5-10","I",NA,NA,NA,NA,NA,NA,NA
"var. murrayana",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-30","4-8","I",NA,NA,NA,NA,NA,NA,NA
"P. coulteri",NA,"1832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9-23","8-20","3-6",NA,NA,NA,NA,NA,NA,NA
"P. densiflora",NA,"1854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21-37","20-30","2",NA,NA,NA,NA,NA,NA,NA
"P. echinata",NA,"1726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-30","5-20","3-10",NA,NA,NA,NA,NA,NA,NA
"P. edulis",NA,"1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-12","25-75","2-5",NA,NA,NA,NA,NA,NA,NA
"P. elliottii",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA
"var. densa",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8-26","8-12","I-5",NA,NA,NA,NA,NA,NA,NA
"var. elliottii",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24-30","7-10","3",NA,NA,NA,NA,NA,NA,NA
"P. engelmannii",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-21","28-30","3-4",NA,NA,NA,NA,NA,NA,NA
"P. flexilis",NA,"1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-24","20-40","2-4",NA,NA,NA,NA,NA,NA,NA
"P. gerardiana",NA,"1839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-24","","",NA,NA,NA,NA,NA,NA,NA
"P. glabra",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24-27","10","",NA,NA,NA,NA,NA,NA,NA
"P. halepensis",NA,"1683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-24","15-20","I",NA,NA,NA,NA,NA,NA,NA
"P. heldreichii",NA,"1865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-30","","",NA,NA,NA,NA,NA,NA,NA
"P. jeffreyi",NA,"1853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-55","8","2-4",NA,NA,NA,NA,NA,NA,NA
"P. kesiya",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30-46","5-10","I",NA,NA,NA,NA,NA,NA,NA
"P. koraiensis",NA,"1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27-46","15-40","I-5",NA,NA,NA,NA,NA,NA,NA
"P. lambertiana",NA,"1827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30-69","40-80","3-5",NA,NA,NA,NA,NA,NA,NA
"P. leiophylla var. chihuahuana",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9-24","28-30","3-4",NA,NA,NA,NA,NA,NA,NA
"P. merkusii",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-30","10-20","I-2",NA,NA,NA,NA,NA,NA,NA
"P. monophylla",NA,"1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-15","20-25","I-2",NA,NA,NA,NA,NA,NA,NA
"P. monticola",NA,"1851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27-61","7-20","3-7",NA,NA,NA,NA,NA,NA,NA
"P. mugo",NA,"1779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-12","10","|",NA,NA,NA,NA,NA,NA,NA
"P. muricata",NA,"1846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12-27","5-6","2-3",NA,NA,NA,NA,NA,NA,NA
"P. nigra",NA,"1759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20-50","15-40","2-5",NA,NA,NA,NA,NA,NA,NA
"P. palustris",NA,"1727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24-37","20","5-7",NA,NA,NA,NA,NA,NA,NA
"P. patula",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-34","12-15","",NA,NA,NA,NA,NA,NA,NA
"P. parviflora",NA,"1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-30","","4-5",NA,NA,NA,NA,NA,NA,NA
"P. peuce",NA,"1863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10-30","12-30","3-4",NA,NA,NA,NA,NA,NA,NA
"P. pinaster",NA,"1660, earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27-37","10-15","3-5",NA,NA,NA,NA,NA,NA,NA
"P. pinea",NA,"Long history",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14-23","","",NA,NA,NA,NA,NA,NA,NA
"P. ponderosa var. ponderosa",NA,"1826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-70","16-20","2-5",NA,NA,NA,NA,NA,NA,NA
"var. scopulorum",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-35","6-20","2-5",NA,NA,NA,NA,NA,NA,NA
"P. pumila",NA,"1807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3-2.5","","",NA,NA,NA,NA,NA,NA,NA
"P. pungens",NA,"1804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9-18","5","",NA,NA,NA,NA,NA,NA,NA
"P. quadrifolia",NA,"1885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-9","","I-5",NA,NA,NA,NA,NA,NA,NA
"P. radiata",NA,"1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-46","5-10","I",NA,NA,NA,NA,NA,NA,NA
"P. macrocarpa",NA,NA,"20*","","3","Pseudotsuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9-30","11-17",NA,NA,NA,NA,NA
"P. menziesii var. glauca",NA,NA,"20","3-10","3","Pseudotsuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-49","4-7",NA,NA,NA,NA,NA
"var. menziesii",NA,NA,"7-10+","2-11","3","Pseudotsuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27-91","6-10",NA,NA,NA,NA,NA
"C. lawsoniana",NA,"1854",NA,"3-5",NA,NA,"to 73",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greenish yellow to red brown",NA,NA,NA,NA
"C. nootkatensis",NA,"1851",NA,"4 or more",NA,NA,"to 53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow brown to red brown",NA,NA,NA,NA
"C. thyoides",NA,"1727",NA,"I or more",NA,NA,"12-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greenish with glaucous bloom to bluish- purple & glaucous, finally red brown",NA,NA,NA,NA
"P. resinosa",NA,"1756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21-46",NA,"3-7",NA,NA,NA,"20-25",NA,NA,NA
"P. rigida",NA,"1759, earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-30",NA,"4-9",NA,NA,NA,"3-4",NA,NA,NA
"P. roxburghii",NA,"1807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46-55",NA,"2-4",NA,NA,NA,"15-40",NA,NA,NA
"P. sabiniana",NA,"1832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12-24",NA,"2-4",NA,NA,NA,"10-25",NA,NA,NA
"P. serotina",NA,"1713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12-24",NA,"I",NA,NA,NA,"4-10",NA,NA,NA
"P. sibirica",NA,"1837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,"3-8",NA,NA,NA,"25-35",NA,NA,NA
"P. strobiformis",NA,"1840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8-38",NA,"3-4",NA,NA,NA,"15",NA,NA,NA
"P. strobus",NA,"1705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24-67",NA,"3-10",NA,NA,NA,"5-10",NA,NA,NA
"P. sylvestris",NA,"Long history",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24-40",NA,"4-6",NA,NA,NA,"5-15",NA,NA,NA
"P. taeda",NA,"1713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27-34",NA,"3-13",NA,NA,NA,"5-10",NA,NA,NA
"P. thunbergiana",NA,"1855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30-40",NA,"",NA,NA,NA,"6-40",NA,NA,NA
"P. torreyana",NA,"1853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8-18",NA,"I",NA,NA,NA,"12-18",NA,NA,NA
"P. virginiana",NA,"1739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-30",NA,"I",NA,NA,NA,"5",NA,NA,NA
"P. wallichiana",NA,"1827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-46",NA,"I-2",NA,NA,NA,"15-20",NA,NA,NA
"P. washoensis",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-46",NA,"2-5",NA,NA,NA,"15-20",NA,NA,NA
"F. grandifolia",NA,"1800",NA,NA,"3","Fagus","21-37",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-3","",NA
"",NA,"",NA,NA,"3","Fagus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-5","Wisconsin",NA
"F. sylvatica",NA,"Long ago",NA,NA,"3","Fagus","20-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40-80*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-8","Mtn areas",NA
