"Publication.Type","Authors","Article.Title","Source.Title","Volume","Issue","Start.Page","Publication.Year","genus","species","accept_reject","reason_reject","language","available","paper_pulled","notes","checkedby","first","firstTemp","surname","studyID"
"J","Cho, Ju Sung; Lee, Cheol Hee","Effect of germination and water absorption on scarification and stratification of kousa dogwood seed","HORTICULTURE ENVIRONMENT AND BIOTECHNOLOGY",59,"3","335",2018,"Cornus","kousa","A","","","","","","HHN","Cho, Ju Sung","Cho","cho","cho18"
"J","Cho, Young Yeol; Lee, Yong-Beom; Oh, Myung-Min; Son, Jung Eek","Application of Quadratic Models for Establishment of Adequate Temperature Ranges in Germination of Various Hot Pepper (Capsicum annuum L.) Cultivars","HORTICULTURE ENVIRONMENT AND BIOTECHNOLOGY",53,"3","222",2012,"Capsicum","annuum","A","","","","","","HHN","Cho, Young Yeol","Cho","cho","cho12"
"J","Chu AiXiang; Li YanMei; Shen CaiXia","Effects of different treatments on the seed germination of Malus Red Splendor.","Seed",31,"11","43",2012,"Malus","pumila","A","","","","","","HHN","Chu AiXiang","Chu AiXiang","chu","chu12"
"J","Chuanren, D; Bochu, W; Liu, WQ; Jing, C; Jie, L; Huan, Z","Effect of chemical and physical factors to improve the germination rate of Echinacea angustifolia seeds","COLLOIDS AND SURFACES B-BIOINTERFACES",37,"04-Mar","101",2004,"Echinacea","angustifolia","A","","","","","","HHN","Chuanren, D","Chuanren","chuanren","chuanren04"
"J","Clemente, Adelaide S.; Mueller, Jonas V.; Almeida, Erika; Costa, Catarina A.; Dias, Sara Lobo; Brehm, Joana Magos; Rebelo, Rui; Martins-Loucao, Maria Amelia","What can routine germination tests in seed banks tell us about the germination ecology of endemic and protected species?","BOTANY",95,"7","673",2017,"","","A","","","","","","HHN","Clemente, Adelaide S.","Clemente","clemente","clemente17"
"J","COLE, JC","INCREASED GERMINATION THROUGH PREGERMINATION TREATMENTS OF CHINESE PISTACHIO SEEDS","JOURNAL OF PRODUCTION AGRICULTURE",7,"1","116",1994,"Pistacia","chinensis","A","","","","","","HHN","COLE, JC","COLE","cole","cole94"
"J","Connolly, Brian M.; Agnew, Lauren K.; Orrock, John L.","Interactive Effects of Contact Fungicide and Cold Stratification on the Germination Rate for Five Dominant Temperate Tree Species","FOREST SCIENCE",63,"3","303",2017,"Multiple","","A","","","","","","HHN","Connolly, Brian M.","Connolly","connolly","connolly17"
"J","Conversa, Giulia; Elia, Antonio","Effect of seed age, stratification, and soaking on germination of wild asparagus (Asparagus acutifolius L.)","SCIENTIA HORTICULTURAE",119,"3","241",2009,"Asparagus","acutifolius","A","","","","","","GG","Conversa, Giulia","Conversa","conversa","conversa09"
"J","Crank, E.","Seed germination studies on the endangered species Thymophylla tephroleuca.","Wildflower",5,"2","23",1992,"Thymophylla","tephroleuca","A","","","","","","GG","Crank, E.","Crank","crank","crank92"
"J","Deb, C. R.; Sangtam, T. L.; Jamir, N. S.","Seed biology of Berberis manipurana Ahrendt: a threatened natural dye yielding plant.","American Journal of Plant Sciences",8,"6","1285",2017,"Berberis","manipurana","A","","","","","","HHN","Deb, C. R.","Deb","deb","deb17"
"J","Deol, I. S.; Chopra, H. R.; Grewal, S. S.","Studies on seed germination and seedling growth of Sharbati peach (Prunus persica Batsch).","Punjab Horticultural Journal",33,"04-Jan","58",1993,"Prunus","persica","A","","","","","","HHN","Deol, I. S.","Deol","deol","deol93"
"J","Derakhshan, A.; Gherekhloo, J.","FACTORS AFFECTING Cyperus difformis SEED GERMINATION AND SEEDLING EMERGENCE","PLANTA DANINHA",31,"4","823",2013,"Cyperus","difformis","A","","","","","","HHN","Derakhshan, A.","Derakhshan","derakhshan","derakhshan13"
